k,info_list,rsvd_t,kmeans_t,purity,f_list,ari_list
10,0.07953858395274399,0.01562190055847168,1.7084167003631592,0.5966666666666667,0.449376591161303,0.33619719225492106
30,0.19283539354919732,0.01562356948852539,4.809704303741455,0.6333333333333333,0.4780300013274924,0.3727372013724715
50,0.2904337858197073,0.046860456466674805,7.002164363861084,0.5766666666666667,0.45075059257308403,0.3389345809056136
70,0.37893986493641363,0.047643423080444336,7.927128553390503,0.5866666666666667,0.45967523680649525,0.3530852758542215
90,0.46019908401239906,0.06248164176940918,9.962509393692017,0.5833333333333334,0.4401622718052738,0.32963453368317586
110,0.535662768742181,0.07810759544372559,14.411164045333862,0.6166666666666667,0.45441757652890347,0.34551571621720767
130,0.6059673338692915,0.07810521125793457,16.807996034622192,0.62,0.45921204312741576,0.35281332585324204
150,0.6711036735019817,0.11129498481750488,14.742013454437256,0.59,0.4393327952649987,0.32795364929809573
170,0.7312370364763657,0.10934829711914062,18.094377040863037,0.5766666666666667,0.42080505342382907,0.3056274739780152
190,0.7867818863409387,0.14059686660766602,18.627224445343018,0.5566666666666666,0.41591271953166575,0.2983944333800497
210,0.8373734580286165,0.15620803833007812,21.556252241134644,0.5433333333333333,0.3903158741868419,0.26878975717239767
230,0.8829128901176698,0.17357993125915527,24.815203428268433,0.6433333333333333,0.4586269377894101,0.350801434353923
250,0.9233512060705548,0.17309141159057617,26.604769229888916,0.64,0.48178931008851944,0.37940631124152513
270,0.9588354648976551,0.19623112678527832,29.27608895301819,0.6166666666666667,0.45990455064865227,0.3525360072031924
290,0.9882832698328549,0.19365358352661133,26.933826446533203,0.58,0.43372054430799867,0.31949823456360305
