k,info_list,rsvd_t,kmeans_t,purity,f_list,ari_list
10,0.06676523323505766,0.05748581886291504,2.7970900535583496,0.74,0.5847038374114185,0.501620936456393
30,0.16354935142764193,0.20084023475646973,4.4049317836761475,0.81,0.6778386224186844,0.6124044528369407
50,0.24817985743078874,0.19977927207946777,6.110742807388306,0.8266666666666667,0.6932371987449095,0.6317673788199071
70,0.3267988409416519,0.29639744758605957,7.9508421421051025,0.78,0.6350634526287517,0.5624244539208297
90,0.40132582683694096,0.22048425674438477,11.664064168930054,0.81,0.6724242628702517,0.6075915012511756
110,0.47254668269032,0.267103910446167,13.02043628692627,0.8,0.6529352566252934,0.5837885692527727
130,0.5409886699418476,0.2702364921569824,21.822471618652344,0.6933333333333334,0.5747403685092127,0.4898821979853369
150,0.60680132144536,0.32480621337890625,17.2805495262146,0.7266666666666667,0.5577359498064344,0.4690935615628556
170,0.6699522723082526,0.36487340927124023,16.633525609970093,0.7466666666666667,0.5875912408759124,0.506131073416965
190,0.7303139758796378,0.43053650856018066,18.942530870437622,0.7566666666666667,0.5932007871344236,0.513228603775163
210,0.7877697237461267,0.41966915130615234,21.085060358047485,0.74,0.5820915559135454,0.49887611654792535
230,0.8421758687328623,0.6622598171234131,23.40308928489685,0.66,0.5027753628034509,0.40334065783056927
250,0.8933733303221288,0.5032548904418945,34.32395315170288,0.6466666666666666,0.5046527309507755,0.4065450281400545
270,0.9406044262370021,0.5352973937988281,28.337939977645874,0.6133333333333333,0.49859268194611983,0.39856307979681804
290,0.9827798325835213,0.552452802658081,31.902775049209595,0.6633333333333333,0.5261674718196457,0.4317718710744122
